,abstract,id,journal,keywords,title,year
178,,WOS:000357441000005,ANNALS OF STATISTICS,"['CONFIDENCE BANDS', 'INTERVALS']","DISCUSSION OF ""FREQUENTIST COVERAGE OF ADAPTIVE NONPARAMETRIC BAYESIAN CREDIBLE SETS""",2015
179,"This paper introduces the R package twostageTE for estimation of an inverse regression function at a given point when one can sample an explanatory covariate at different values and measure the corresponding responses. The package implements a number of nonparametric methods for budget constrained threshold value estimation. Specifically, it contains methods for classical one-stage designs and also adaptive two-stage designs, which have been shown to yield more efficient and accurate results. A major advantage of the methods in package twostageTE is that threshold value estimation is performed without penalization or kernel smoothing, and hence, avoids the well-known problems of choosing the corresponding tuning parameter (regularization, bandwidth). The user can easily perform a two-stage analysis with twostageTE by (i) identifying the second stage sampling region from an initial sample, and (ii) computing various types of confidence intervals to ensure a robust analysis. The package twostageTE is illustrated through simulated examples.",WOS:000365981900001,JOURNAL OF STATISTICAL SOFTWARE,['REGRESSION'],Threshold Value Estimation Using Adaptive Two-Stage Plans in R,2015
180,"Consider a continuous random pair (X, Y) whose dependence is characterized by an extreme-value copula with Pickands dependence function A. When the marginal distributions of X and Y are known, several consistent estimators of A are available. Most of them are variants of the estimators due to Pickands [Bull. Inst. Internat. Statist. 49 (1981) 859-878.] and Caperaa, Fougeres and Genest [Biometrika 84 (1997) 567-577]. In this paper, rank-based versions of these estimators are proposed for the more common case where the margins of X and Y are unknown. Results on the limit behavior of a class of weighted bivariate empirical processes are used to show the consistency and asymptotic normality of these rank-based estimators. Their finite- and large-sample performance is then compared to that of their known-margin analogues, as well as with endpoint-corrected versions thereof. Explicit formulas and consistent estimates for their asymptotic variances are also given.",WOS:000268605000014,ANNALS OF STATISTICS,"['VALUE DISTRIBUTIONS', 'NONPARAMETRIC-ESTIMATION', 'DEPENDENCE-FUNCTION', 'ESTIMATORS', 'BEHAVIOR', 'MODELS']",RANK-BASED INFERENCE FOR BIVARIATE EXTREME-VALUE COPULAS,2009
181,"In the nineteen seventies, Jureckova and Jaeckel proposed rank estimation for linear models. Since that time, several authors have developed inference and diagnostic methods for these estimators. These rank-based estimators and their associated inference are highly efficient and are robust to outliers in response space. The methods include estimation of standard errors, tests of general linear hypotheses, confidence intervals, diagnostic procedures including studentized residuals, and measures of influential cases. We have developed an R package, Rfit, for computing of these robust procedures. In this paper we highlight the main features of the package. The package uses standard linear model syntax and includes many of the main inference and diagnostic functions.",WOS:000313198000008,R JOURNAL,"['REGRESSION COEFFICIENTS', 'ROBUST ANALYSIS']",Rfit: Rank-based Estimation for Linear Models,2012
182,"The R package simPH provides tools for effectively communicating results from Cox proportional hazard (PH) models, including models with interactive and nonlinear effects. The Cox (PH) model is a popular tool for examining event data. However, previously available computational tools have not made it easy to explore and communicate quantities of interest and associated uncertainty estimated from them. This is especially true when the effects are interactions or nonlinear transformations of continuous variables. These transformations are especially useful with Cox PH models because they can be employed to correctly specifying models that would otherwise violate the nonproportional hazards assumption. Package simPH makes it easy to simulate and then plot quantities of interest for a variety of effects estimated from Cox PH models including interactive effects, nonlinear effects, as well as standard linear effects. Package simPH employs visual weighting in order to effectively communicate estimation uncertainty. There are options to show either the standard central interval of the simulation's distribution or the shortest probability interval - which can be useful for asymmetrically distributed estimates. This paper uses hypothetical and empirical examples to illustrate package simPH's syntax and capabilities.",WOS:000365973800001,JOURNAL OF STATISTICAL SOFTWARE,"['EVENT HISTORY ANALYSIS', 'NONPROPORTIONAL HAZARDS', 'RESIDUALS']",simPH: An R Package for Illustrating Estimates from Cox Proportional Hazard Models Including for Interactive and Nonlinear Effects,2015
183,"In regression settings, a sufficient dimension reduction (SDR) method seeks the core information in a p-vector predictor that completely captures its relationship with a response. The reduced predictor may reside in a lower dimension d < p, improving ability to visualize data and predict future observations, and mitigating dimensionality issues when carrying out further analysis. We introduce ldr, a new R software package that implements three recently proposed likelihood-based methods for SDR: covariance reduction, likelihood acquired directions, and principal fitted components. All three methods reduce the dimensionality of the data by projection into lower dimensional subspaces. The package also implements a variable screening method built upon principal fitted components which makes use of flexible basis functions to capture the dependencies between the predictors and the response. Examples are given to demonstrate likelihood-based SDR analyses using ldr, including estimation of the dimension of reduction subspaces and selection of basis functions. The ldr package provides a framework that we hope to grow into a comprehensive library of likelihood-based SDR methodologies.",WOS:000349840600001,JOURNAL OF STATISTICAL SOFTWARE,"['SLICED INVERSE REGRESSION', 'COVARIANCE MATRICES', 'MODELS']",ldr: An R Software Package for Likelihood-Based Sufficient Dimension Reduction,2014
184,"Kernel random matrices have attracted a lot of interest in recent years, from both practical and theoretical standpoints. Most of the theoretical work so far has focused on the case were the data is sampled from a low-dimensional structure. Very recently, the first results concerning kernel random matrices with high-dimensional input data were obtained, in a setting where the data was sampled from a genuinely high-dimensional structure-similar to standard assumptions in random matrix theory.
In this paper, we consider the case where the data is of the type ""information + noise."" In other words, each observation is the sum of two independent elements: one sampled from a ""low-dimensional"" structure, the signal part of the data, the other being high-dimensional noise, normalized to not overwhelm but still affect the signal. We consider two types of noise, spherical and elliptical.
In the spherical setting, we show that the spectral properties of kernel random matrices can be understood from a new kernel matrix, computed only from the signal part of the data, but using (in general) a slightly different kernel. The Gaussian kernel has some special properties in this setting.
The elliptical setting, which is important from a robustness standpoint, is less prone to easy interpretation.",WOS:000282402800019,ANNALS OF STATISTICS,['COMPONENT ANALYSIS'],ON INFORMATION PLUS NOISE KERNEL RANDOM MATRICES,2010
185,"The package fitdistrplus provides functions for fitting univariate distributions to different types of data (continuous censored or non-censored data and discrete data) and allowing different estimation methods (maximum likelihood, moment matching, quantile matching and maximum goodness-of-fit estimation). Outputs of fitdist and fitdistcens functions are S3 objects, for which kind generic methods are provided, including summary, plot and quantile. This package also provides various functions to compare the fit of several distributions to a same data set and can handle bootstrap of parameter estimates. Detailed examples are given in food risk assessment, ecotoxicology and insurance contexts.",WOS:000352911200001,JOURNAL OF STATISTICAL SOFTWARE,"['RISK-ASSESSMENT', 'SEED-DISPERSAL', 'SENSITIVITY', 'MODELS', 'PROBABILITY', 'POPULATIONS', 'SALMONELLA', 'PREDICTION', 'STABILITY', 'EXPOSURE']",fitdistrplus: An R Package for Fitting Distributions,2015
186,"The Rankcluster package is the first R package proposing both modeling and clustering tools for ranking data, potentially multivariate and partial. Ranking data are modeled by the Insertion Sorting Rank (ISR) model, which is a meaningful model parametrized by a central ranking and a dispersion parameter. A conditional independence assumption allows multivariate rankings to be taken into account, and clustering is performed by means of mixtures of multivariate ISR models. The parameters of the cluster (central rankings and dispersion parameters) help the practitioners to interpret the clustering. Moreover, the Rankcluster package provides an estimate of the missing ranking positions when rankings are partial. After an overview of the mixture of multivariate ISR models, the Rankcluster package is described and its use is illustrated through the analysis of two real datasets.",WOS:000343788100011,R JOURNAL,"['MODEL', 'LIKELIHOOD', 'ALGORITHM', 'MIXTURE']",Rankcluster: An R Package for Clustering Multivariate Partial Rankings,2014
187,This paper shows how to estimate models by the generalized method of moments and the generalized empirical likelihood using the R package gmm. A brief discussion is offered on the theoretical aspects of both methods and the functionality of the package is presented through several examples in economics and finance.,WOS:000281584400001,JOURNAL OF STATISTICAL SOFTWARE,"['CONSISTENT COVARIANCE-MATRIX', 'FINITE-SAMPLE PROPERTIES', 'HETEROSKEDASTICITY', 'ESTIMATORS', 'GMM']",Computing Generalized Method of Moments and Generalized Empirical Likelihood with R,2010
188,"Sufficient dimension reduction (SDR) in regression, which reduces the dimension by replacing original predictors with a minimal set of their linear combinations without loss of information, is very helpful when the number of predictors is large. The standard SDR methods suffer because the estimated linear combinations usually consist of all original predictors, making it difficult to interpret. In this paper, we propose a unified method-coordinate-independent sparse estimation (CISE)-that can simultaneously achieve sparse sufficient dimension reduction and screen out irrelevant and redundant variables efficiently. CISE is subspace oriented in the sense that it incorporates a coordinate-independent penalty term with a broad series of model-based and model-free SDR approaches. This results in a Grassmann manifold optimization problem and a fast algorithm is suggested. Under mild conditions, based on manifold theories and techniques, it can be shown that CISE would perform asymptotically as well as if the true irrelevant predictors were known, which is referred to as the oracle property. Simulation studies and a real-data example demonstrate the effectiveness and efficiency of the proposed approach.",WOS:000290231500011,ANNALS OF STATISTICS,"['SLICED INVERSE REGRESSION', 'PRINCIPAL HESSIAN DIRECTIONS', 'CANONICAL CORRELATION', 'COMPONENT ANALYSIS', 'ORACLE PROPERTIES', 'MODEL SELECTION', 'LIKELIHOOD', 'ASYMPTOTICS', 'CONSTRAINTS', 'ALGORITHMS']",COORDINATE-INDEPENDENT SPARSE SUFFICIENT DIMENSION REDUCTION AND VARIABLE SELECTION,2010
189,"Witten and Tibshirani (2010) proposed an algorithim to simultaneously find clusters and select clustering variables, called sparse K-means (SK-means). SK-means is particularly useful when the dataset has a large fraction of noise variables (that is, variables without useful information to separate the clusters). SK-means works very well on clean and complete data but cannot handle outliers nor missing data. To remedy these problems we introduce a new robust and sparse K-means clustering algorithm implemented in the R package RSKC. We demonstrate the use of our package on four datasets. We also conduct a Monte Carlo study to compare the performances of RSK-means and SK-means regarding the selection of important variables and identification of clusters. Our simulation study shows that RSK-means performs well on clean data and better than SK-means and other competitors on outlier-contaminated data.",WOS:000389072200001,JOURNAL OF STATISTICAL SOFTWARE,"['NUMBER', 'DATASET']",RSKC: An R Package for a Robust and Sparse K-Means Clustering Algorithm,2016
190,"In this article, we introduce the R package CryptRndTest that performs eight statistical randomness tests on cryptographic random number sequences. The purpose of the package is to provide software implementing recently proposed cryptographic randomness tests utilizing goodnessof- fit tests superior to the usual chi-square test in terms of statistical performance. Most of the tests included in package CryptRndTest are not available in other software packages such as the R package RDieHarder or the C library TestU01. Chi-square, Anderson-Darling, Kolmogorov-Smirnov, and Jarque-Bera goodness-of-fit procedures are provided along with cryptographic randomness tests. CryptRndTest utilizes multiple precision floating numbers for sequences longer than 64-bit based on the package Rmpfr. By this way, included tests are applied precisely for higher bit-lengths. In addition CryptRndTest provides a user friendly interface to these cryptographic randomness tests. As an illustrative application, CryptRndTest is used to test available random number generators in R.",WOS:000385276100017,R JOURNAL,"['STIRLING NUMBERS', 'LIBRARY']",CryptRndTest: An R Package for Testing the Cryptographic Randomness,2016
191,"We consider the problem of learning causal information between random variables in directed acyclic graphs (DAGs) when allowing arbitrarily many latent and selection variables. The FCI (Fast Causal Inference) algorithm has been explicitly designed to infer conditional independence and causal information in such settings. However, FCI is computationally infeasible for large graphs. We therefore propose the new RFCI algorithm, which is much faster than FCI. In some situations the output of RFCI is slightly less informative, in particular, with respect to conditional independence information. However, we prove that any causal information in the output of RFCI is correct in the asymptotic limit. We also define a class of graphs on which the outputs of FCI and RFCI are identical. We prove consistency of FCI and RFCI in sparse high-dimensional settings, and demonstrate in simulations that the estimation performances of the algorithms are very similar. All software is implemented in the R-package pcalg.",WOS:000304684900012,ANNALS OF STATISTICS,"['EQUIVALENCE CLASSES', 'MARKOV EQUIVALENCE', 'OBSERVATIONAL DATA', 'ANCESTRAL GRAPHS', 'CAUSAL', 'MODELS', 'LASSO']",LEARNING HIGH-DIMENSIONAL DIRECTED ACYCLIC GRAPHS WITH LATENT AND SELECTION VARIABLES,2012
192,"A preliminary attempt at collecting tools and utilities for genetic data as an R package called gap is described. Genomewide association is then described as a specific example, linking the work of Risch and Merikangas (1996), Long and Langley (1997) for family-based and population-based studies, and the counterpart for case-cohort design established by Cai and Zeng (2004). Analysis of staged design as outlined by Skol et al. (2006) and associate methods are discussed. The package is flexible, customizable, and should prove useful to researchers especially in its application to genomewide association studies.",WOS:000252431800001,JOURNAL OF STATISTICAL SOFTWARE,"['GENOME-WIDE ASSOCIATION', 'POLYMORPHIC DNA MARKER', 'UNRELATED INDIVIDUALS', 'MULTIPLE IMPUTATION', 'COMPLEX DISEASES', 'R-PACKAGE', 'LINKAGE', 'TRAITS', 'MODELS', 'HAPLOTYPES']",gap: Genetic analysis package,2007
193,"Simulations are a practical and reliable approach to power calculations, especially for multi-level mixed effects models where the analytic solutions can be very complex. In addition, power calculations are model-specific and multi-level mixed effects models are defined by a plethora of parameters. In other words, model variations in this context are numerous and so are the tailored algebraic calculations. This article describes ipdpower in Stata, a new simulations-based command that calculates power for mixed effects two-level data structures. Although the command was developed having individual patient data meta-analyses and primary care databases analyses in mind, where patients are nested within studies and general practices respectively, the methods apply to any two-level structure.",WOS:000392515200001,JOURNAL OF STATISTICAL SOFTWARE,"['INDIVIDUAL PATIENT DATA', 'RANDOM EFFECTS METAANALYSIS', 'STATISTICAL-METHODS', 'AGGREGATE-DATA', 'HETEROGENEITY']",Simulation-Based Power Calculations for Mixed Effects Modeling: ipdpower in Stata,2016
194,"Kernel estimation is an important technique in exploratory data analysis. Its utility relies on its ease of interpretation, especially based on graphical means. The Ake package is introduced for univariate density or probability mass function estimation and also for continuous and discrete regression functions using associated kernel estimators. These associated kernels have been proposed due to their specific features of variables of interest. The package focuses on associated kernel methods appropriate for continuous (bounded, positive) or discrete (count, categorical) data often found in applied settings. Furthermore, optimal bandwidths are selected by cross-validation for any associated kernel and by Bayesian methods for the binomial kernel. Other Bayesian methods for selecting bandwidths with other associated kernels will complete this package in its future versions; particularly, a Bayesian adaptive method for gamma kernel estimation of density functions is developed. Some practical and theoretical aspects of the normalizing constant in both density and probability mass functions estimations are given.",WOS:000395669800017,R JOURNAL,"['PROBABILITY DENSITY-FUNCTION', 'NONPARAMETRIC-ESTIMATION', 'TRIANGULAR DISTRIBUTIONS', 'BANDWIDTH', 'BOUNDARY', 'PERFORMANCE', 'EXTENSIONS', 'BIAS']",Ake: An R Package for Discrete and Continuous Associated Kernel Estimations,2016
195,,WOS:000208589700012,R JOURNAL,,PMML: An Open Standard for Sharing Models,2009
196,,WOS:000277471000022,ANNALS OF STATISTICS,,"ON SOME PROBLEMS IN THE ARTICLE EFFICIENT LIKELIHOOD ESTIMATION IN STATE SPACE MODELS (vol 38, pg 1279, 2010)",2010
197,"In the paper we present an R package MNM dedicated to multivariate data analysis based on the L-1 norm. The analysis proceeds very much as does a traditional multivariate analysis. The regular L-2 norm is just replaced by different L-1 norms, observation vectors are replaced by their (standardized and centered) spatial signs, spatial ranks, and spatial signed-ranks, and so on. The procedures are fairly efficient and robust, and no moment assumptions are needed for asymptotic approximations. The background theory is briefly explained in the multivariate linear regression model case, and the use of the package is illustrated with several examples using the R package MNM.",WOS:000293390600001,JOURNAL OF STATISTICAL SOFTWARE,"['NONPARAMETRIC-TESTS', 'RANK-TESTS', 'AFFINE-INVARIANT', 'SIGN TEST', 'REGRESSION', 'SCATTER']",Multivariate L-1 Methods: The Package MNM,2011
198,"We study location-scale mixture priors for nonparametric statistical problems, including multivariate regression, density estimation and classification. We show that a rate-adaptive procedure can be obtained if the prior is properly constructed. In particular, we show that adaptation is achieved if a kernel mixture prior on a regression function is constructed using a Gaussian kernel, an inverse gamma bandwidth, and Gaussian mixing weights.",WOS:000283792900003,ANNALS OF STATISTICS,"['POSTERIOR CONVERGENCE-RATES', 'DIRICHLET MIXTURES', 'DENSITY-ESTIMATION', 'GAUSSIAN MEASURES', 'METRIC ENTROPY', 'DISTRIBUTIONS', 'APPROXIMATION', 'CONSISTENCY', 'MODELS']",ADAPTIVE NONPARAMETRIC BAYESIAN INFERENCE USING LOCATION-SCALE MIXTURE PRIORS,2010
199,"We have developed the R package c060 with the aim of improving R software functionality for high-dimensional risk prediction modeling, e.g., for prognostic modeling of survival data using high-throughput genomic data. Penalized regression models provide a statistically appealing way of building risk prediction models from high-dimensional data. The popular CRAN package glmnet implements an efficient algorithm for fitting penalized Cox and generalized linear models. However, in practical applications the data analysis will typically not stop at the point where the model has been fitted. One is for example often interested in the stability of selected features and in assessing the prediction performance of a model and we provide functions to deal with both of these tasks. Our R functions are computationally efficient and off er the possibility of speeding up computing time through parallel computing. Another feature which can drastically reduce computing time is an e fficient interval-search algorithm, which we have implemented for selecting the optimal parameter combination for elastic net penalties. These functions have been useful in our daily work at the Biostatistics department (C060) of the German Cancer Research Center where prognostic modeling of patient survival data is of particular interest. Although we focus on a survival data application of penalized Cox models in this article, the functions in our R package are in general applicable to all types of regression models implemented in the glmnet package, with the exception of prediction error curves, which are specific to time-to-event data.",WOS:000349843400001,JOURNAL OF STATISTICAL SOFTWARE,"['PROPORTIONAL HAZARDS MODEL', 'VARIABLE SELECTION', 'STABILITY SELECTION', 'COORDINATE DESCENT', 'R-PACKAGE', 'SURVIVAL', 'PREDICTION', 'REGRESSION', 'CLASSIFICATION', 'PATHS']",c060: Extended Inference with Lasso and Elastic-Net Regularized Cox and Generalized Linear Models,2014
200,"Time-series-cross-section (TSCS) data are characterized by having repeated observations over time on some set of units, such as states or nations. TSCS data typically display both contemporaneous correlation across units and unit level heteroskedasity making inference from standard errors produced by ordinary least squares incorrect. Panel-corrected standard errors (PCSE) account for these these deviations from spherical errors and allow for better inference from linear models estimated from TSCS data. In this paper, we discuss an implementation of them in the R system for statistical computing. The key computational issue is how to handle unbalanced data.",WOS:000208805800001,JOURNAL OF STATISTICAL SOFTWARE,,Implementing Panel-Corrected Standard Errors in R: The pcse Package,2011
201,"A parameter estimation problem is considered, in which dispersed sensors transmit to the statistician partial information regarding their observations. The sensors observe the paths of continuous semimartingales, whose drifts are linear with respect to a common parameter. A novel estimating scheme is suggested, according to which each sensor transmits only one-bit messages at stopping times of its local filtration. The proposed estimator is shown to be consistent and, for a large class of processes, asymptotically optimal, in the sense that its asymptotic distribution is the same as the exact distribution of the optimal estimator that has full access to the sensor observations. These properties are established under an asymptotically low rate of communication between the sensors and the statistician. Thus, despite being asymptotically efficient, the proposed estimator requires minimal transmission activity, which is a desirable property in many applications. Finally, the case of discrete sampling at the sensors is studied when their underlying processes are independent Brownian motions.",WOS:000321842400004,ANNALS OF STATISTICS,"['MULTITERMINAL DATA-COMPRESSION', 'DECENTRALIZED ESTIMATION', 'DISTRIBUTED DETECTION', 'STOCHASTIC-PROCESSES', 'MULTIPLE SENSORS', 'TIME', 'INFERENCE']",ASYMPTOTICALLY OPTIMAL PARAMETER ESTIMATION UNDER COMMUNICATION CONSTRAINTS,2012
202,"Maximum likelihood estimation of a log-concave density has attracted considerable attention over the last few years. Several algorithms have been proposed to estimate such a density. Two of those algorithms, an iterative convex minorant and an active set algorithm, are implemented in the R package logcondens. While these algorithms are discussed elsewhere, we describe in this paper the use of the logcondens package and discuss functions and datasets related to log-concave density estimation contained in the package. In particular, we provide functions to (1) compute the maximum likelihood estimate (MLE) as well as a smoothed log-concave density estimator derived from the MLE, (2) evaluate the estimated density, distribution and quantile functions at arbitrary points, (3) compute the characterizing functions of the MLE, (4) sample from the estimated distribution, and finally (5) perform a two-sample permutation test using a modi fied Kolmogorov-Smirnov test statistic. In addition, logcondens makes two datasets available that have been used to illustrate log-concave density estimation.",WOS:000288204200001,JOURNAL OF STATISTICAL SOFTWARE,"['MAXIMUM-LIKELIHOOD-ESTIMATION', 'DISTRIBUTIONS', 'ALGORITHM']",Logcondens: Computations Related to Univariate Log-Concave Density Estimation,2011
203,"We study the asymptotics for jump-penalized least squares regression aiming at approximating a regression function by piecewise constant functions. Besides conventional consistency and convergence rates of the estimates in L(2)([0, 1)) our results cover other metrics like Skorokhod metric on the space of cadlag functions and uniform metrics on C([0, 1]). We will show that these estimators are in an adaptive sense rate optimal over certain classes of ""approximation spaces."" Special cases are the class of functions of bounded variation (piecewise) Holder continuous functions of order 0 < alpha <= 1 and the class of step functions with a finite but arbitrary number of jumps. In the latter setting, we will also deduce the rates known from change-point analysis for detecting the jumps. Finally, the issue of fully automatic selection of the smoothing parameter is addressed.",WOS:000263129000006,ANNALS OF STATISTICS,"['LARGE UNDERDETERMINED SYSTEMS', 'NONPARAMETRIC REGRESSION', 'BAYESIAN RESTORATION', 'SMOOTH REGRESSION', 'WAVELET SHRINKAGE', 'CHANGE-POINTS', 'SELECTION', 'EQUATIONS', 'SEQUENCE']",CONSISTENCIES AND RATES OF CONVERGENCE OF JUMP-PENALIZED LEAST SQUARES ESTIMATORS,2009
204,"We introduce a multiscale test statistic based on local order statistics and spacings that provides simultaneous confidence statements for the existence and location of local increases and decreases of a density or a failure rate. The procedure provides guaranteed finite-sample significance levels, is easy to implement and possesses certain asymptotic optimality and adaptivity properties.",WOS:000258243000013,ANNALS OF STATISTICS,"['EXCESS MASS', 'NORMALIZED SPACINGS', 'TESTS', 'MULTIMODALITY', 'MODALITY', 'CONTOUR']",Multiscale inference about a density,2008
205,,WOS:000357431900001,R JOURNAL,,Untitled,2015
206,"We Study generalized bootstrap confidence regions for the mean of a random vector whose coordinates have an unknown dependency structure. The random vector is supposed to be either Gaussian or to have a symmetric and bounded distribution. The dimensionality of the vector can possibly be much larger than the number of observations and we focus on a nonasymptotic control of the confidence level, following ideas inspired by recent results in learning theory. We consider two approaches, the first based on a concentration principle (valid for a large class of resampling weights) and the second oil a resampled quantile, specifically using Rademacher weights. Several intermediate results established in the approach based on concentration principles are of interest in their own right. We also discuss the question of accuracy when using Monte Carlo approximations of the resampled quantities.",WOS:000273800100002,ANNALS OF STATISTICS,"['BOOTSTRAP', 'REGRESSION', 'LOCALIZATION', 'ALGORITHMS', 'BALLS', 'SETS']","SOME NONASYMPTOTIC RESULTS ON RESAMPLING IN HIGH DIMENSION, I: CONFIDENCE REGIONS",2010
207,"In the design of efficient simulation algorithms, one is often beset with a poor choice of proposal distributions. Although the performance of a given simulation kernel can clarify a posteriori how adequate this kernel is for the problem at hand, a permanent on-line modification of kernels causes concerns about the validity of the resulting algorithm. While the issue is most often intractable for MCMC algorithms, the equivalent version for importance sampling algorithms can be validated quite precisely. We derive sufficient convergence conditions for adaptive mixtures of population Monte Carlo algorithms and show that Rao-Blackwellized versions asymptotically achieve an optimum in terms of a Kullback divergence criterion, while more rudimentary versions do not benefit from repeated updating.",WOS:000247498100016,ANNALS OF STATISTICS,"['CHAIN MONTE-CARLO', 'METROPOLIS ALGORITHM', 'DISTRIBUTIONS']",Convergence of adaptive mixtures of importance sampling schemes,2007
208,"We study the computational complexity of Markov chain Monte Carlo (MCMC) methods for high-dimensional Bayesian linear regression under sparsity constraints. We first show that a Bayesian approach can achieve variable-selection consistency under relatively mild conditions on the design matrix. We then demonstrate that the statistical criterion of posterior concentration need not imply the computational desideratum of rapid mixing of the MCMC algorithm. By introducing a truncated sparsity prior for variable selection, we provide a set of conditions that guarantee both variable-selection consistency and rapid mixing of a particular Metropolis Hastings algorithm. The mixing time is linear in the number of covariates up to a logarithmic factor. Our proof controls the spectral gap of the Markov chain by constructing a canonical path ensemble that is inspired by the steps taken by greedy algorithms for variable selection.",WOS:000389620800010,ANNALS OF STATISTICS,"['MODEL SELECTION', 'SPARSITY RECOVERY', 'PRIORS', 'REGRESSION', 'LASSO', 'LIKELIHOOD', 'SHRINKAGE']",ON THE COMPUTATIONAL COMPLEXITY OF HIGH-DIMENSIONAL BAYESIAN VARIABLE SELECTION,2016
209,"Boosting and bagging are two widely used ensemble methods for classification. Their common goal is to improve the accuracy of a classifier combining single classifiers which are slightly better than random guessing. Among the family of boosting algorithms, AdaBoost (adaptive boosting) is the best known, although it is suitable only for dichotomous tasks. AdaBoost.M1 and SAMME (stagewise additive modeling using a multi-class exponential loss function) are two easy and natural extensions to the general case of two or more classes. In this paper, the adabag R package is introduced. This version implements AdaBoost.M1, SAMME and bagging algorithms with classification trees as base classifiers. Once the ensembles have been trained, they can be used to predict the class of new samples. The accuracy of these classifiers can be estimated in a separated data set or through cross validation. Moreover, the evolution of the error as the ensemble grows can be analysed and the ensemble can be pruned. In addition, the margin in the class prediction and the probability of each class for the observations can be calculated. Finally, several classic examples in classification literature are shown to illustrate the use of this package.",WOS:000323909400001,JOURNAL OF STATISTICAL SOFTWARE,"['ENSEMBLE', 'CLASSIFIERS', 'PREDICTION', 'ALGORITHMS', 'ADABOOST', 'MODELS']",adabag: An R Package for Classification with Boosting and Bagging,2013
210,"An estimate of the number of species, S, usually called species richness by ecologists, in an area is one of the basic statistics used to ascertain biological diversity. Traditionally ecologists have used the number of species observed in a sample, S-0, to estimate S, realizing that S-0 is a lower bound for S. One alternative to S-0 is to use a nonparametric procedure such as jackknife resampling. For species richness, a closed form of the jackknife estimator is available. Typically statistical software contains only the traditional iterative form of the jackknife estimator. The purpose of this article is to propose an S-PLUS function for calculating the noniterative first order jackknife estimator of species richness and some associated plots and statistics.",WOS:000235180800001,JOURNAL OF STATISTICAL SOFTWARE,['NUMBER'],Jackknife estimator of species richness with S-PLUS,2006
211,"This paper is aimed at deriving the universality of the largest eigenvalue of a class of high-dimensional real or complex sample covariance matrices of the form W-N = Sigma(XX)-X-1/2*E-1/2. Here, X = (xij)(M,N) is an M x N random matrix with independent entries x(ij), 1 <= i <= M, 1 <= j <= N such that Ex(ij) = 0, E vertical bar x(ij)vertical bar(2) = 1/N. On dimensionality, we assume that M = M(N) and N/M -> d is an element of(0, infinity) as N -> infinity. For a class of general deterministic positive-definite M x M matrices Sigma, under some additional assumptions on the distribution of x(ij)'s, we show that the limiting behavior of the largest eigenvalue of W-N is universal, via pursuing a Green function comparison strategy raised in [Probab. Theory Related Fields 154 (2012) 341-407, Adv. Math. 229 (2012) 1435-1515] by Erdos, Yau and Yin for Wigner matrices and extended by Pillai and Yin [Ann. Appl Probab. 24 (2014) 935-1001] to sample covariance matrices in the null case (Sigma = I). Consequently, in the standard complex case (Ex(ij)(2) = 0), combing this universality property and the results known for Gaussian matrices obtained by El Karoui in [Ann. Probab. 35 (2007) 663-714] (nonsingular case) and Onatski in [Ann. Appl. Probab. 18 (2008) 470-490] (singular case), we show that after an appropriate normalization the largest eigenvalue of WN converges weakly to the type 2 Tracy-Widom distribution TW2. Moreover, in the real case, we show that when Sigma is spiked with a fixed number of subcritical spikes, the type 1 Tracy-Widom limit TW1 holds for the normalized largest eigenvalue of W-N, which extends a result of Feral and Peche in [J. Math. Phys. 50 (2009) 073302] to the scenario of nondiagonal Sigma and more generally distributed X. In summary, we establish the Tracy Widom type universality for the largest eigenvalue of generally distributed sample covariance matrices under quite light assumptions on Sigma. Applications of these limiting results to statistical signal detection and structure recognition of separable covariance matrices are also discussed.",WOS:000349738500014,ANNALS OF STATISTICS,"['WIGNER RANDOM MATRICES', 'LIMITING SPECTRAL DISTRIBUTION', 'DIMENSIONAL RANDOM MATRICES', 'TRACY-WIDOM LIMIT', 'EDGE UNIVERSALITY', 'LOCAL STATISTICS', 'SEMICIRCLE LAW', 'MODEL', 'DELOCALIZATION', 'DISTRIBUTIONS']",UNIVERSALITY FOR THE LARGEST EIGENVALUE OF SAMPLE COVARIANCE MATRICES WITH GENERAL POPULATION,2015
212,,WOS:000357441000002,ANNALS OF STATISTICS,"['GAUSSIAN WHITE-NOISE', 'VON MISES PHENOMENON', 'CONFIDENCE BANDS']","DISCUSSION OF ""FREQUENTIST COVERAGE OF ADAPTIVE NONPARAMETRIC BAYESIAN CREDIBLE SETS""",2015
213,,WOS:000275510800004,ANNALS OF STATISTICS,['CONDITIONAL GROWTH CHARTS'],Multivariate quantiles and multiple-output regression quantiles: From L-1 optimization to halfspace depth DISCUSSION,2010
214,"We propose an algorithm to compute the cumulative distribution function of the two-sided Kolmogorov-Smirnov test statistic D(n) and its complementary distribution in a fast and reliable way. Different approximations are used in different regions of (n,x). Java and C programs are available.",WOS:000288206100001,JOURNAL OF STATISTICAL SOFTWARE,['CUMULATIVE DISTRIBUTION'],Computing the Two-Sided Kolmogorov-Smirov Distribution,2011
